username,followers,reels,avg_views,max_views,avg_comments,max_comments,avg_likes,last_upload_days,posts_per_week,verdict,error
daillypick,0,12,1375,3796,32.2,68,18.1,0.1,9.3,ok,
daily.s__,0,12,101713,364652,38.1,132,201.5,1.1,8.4,ok,
daily.item.up,0,12,292,491,26.0,32,15.8,0.9,8.4,ok,
daily_gom_pick,0,12,16137,30294,468.1,1253,134.8,65.1,9.3,ok,
daily.daily.home,,,,,,,,,,unknown,
daily_homez,0,12,8257,67450,82.2,391,33.3,0.5,2.0,ok,
daily__home__picks,,,,,,,,,,unknown,
daily_upitem,0,12,9330,107491,4.7,20,19.7,117.0,0.7,ok,
daily_pick5,0,12,509,753,7.1,13,5.2,107.5,7.6,ok,
dailypick_y,0,12,1232,10335,9.8,68,5.6,5.3,0.6,ok,
dajeongjubu,0,12,233327,1120692,2347.4,13769,1562.8,2.0,0.4,ok,
dailyuse.pick,0,12,2099,3467,5.7,32,9.5,3.1,8.4,ok,
dajung.papa,0,12,142950,793595,2089.2,13195,1543.5,200.5,1.8,ok,
dailyfinds026,,,,,,,,,,unknown,
dajung_salim,0,12,190317,923716,1336.2,12648,402.8,18.3,0.5,ok,
dajunghome,0,12,609,1806,17.6,51,9.3,0.5,14.0,ok,
daldal989,0,12,551,1547,0.2,2,2.2,0.5,8.4,ok,
dalhayan.zip,0,12,362494,1473864,347.6,2247,4129.2,3.4,0.4,ok,
dali_table,0,12,16443,41836,97.8,579,94.4,0.3,10.5,ok,
dally._home,0,12,4800,9590,94.7,312,19.6,0.2,12.0,ok,
dalyu_home,0,12,117832,844844,6.4,35,503.5,13.2,2.0,ok,
dam._.ddaa,0,12,3564,12990,192.9,1931,27.5,77.5,7.0,ok,
damadurim,0,12,1354,7547,2.1,10,1.4,0.4,12.0,ok,
dam.da.da,0,12,61510,448431,47.6,96,442.8,4.3,1.6,ok,
dam_a_dum,0,12,34139,215485,132.9,1353,175.2,95.4,0.5,ok,
dam.a._.dum,,,,,,,,,,unknown,
damda.home,0,12,174595,788950,933.6,3696,2985.4,2.5,0.6,ok,
dandan__home,0,12,277255,1600295,1196.1,3419,1514.8,4.3,0.1,ok,
dangdang2.pick,0,12,53306,296027,783.7,3175,639.0,0.1,7.0,ok,
danielyolo41,0,12,1426,9870,15.8,135,6.2,1.2,6.5,ok,
danjeong_salim,0,12,18895,153385,279.7,2972,101.1,0.5,4.2,ok,
dannikafaith,0,12,16647995,129135904,4867.4,30649,204234.8,1.8,0.1,ok,
dansunhyun,0,12,34342,90078,143.8,428,98.4,1.0,4.2,ok,
daolmarket77,0,12,991,1614,3.1,17,3.8,206.1,4.7,ok,
daram.note,0,12,42894,178685,427.8,3923,264.4,193.5,1.9,ok,
darimi_unni,0,12,2229154,22620895,6905.5,22505,9794.9,1.3,0.1,ok,
dasallim_tem,0,12,8014,22601,239.6,907,50.9,1.1,14.0,ok,
day_sian_,0,12,1021,2643,5.1,16,4.7,5.0,0.9,ok,
daolmarket,,,,,,,,,,unknown,
days_mompick,0,12,368,691,30.8,41,3.0,104.0,5.2,ok,
dayzarkive,0,12,20660,45799,548.8,1390,75.2,47.1,2.4,ok,
dayzcore,0,12,73094,197600,1092.1,2894,245.5,4.0,3.0,ok,
ddajumma_365,0,12,6380,10381,126.9,224,60.7,207.1,3.8,ok,
dayzhome,0,11,73870,197600,1231.2,2894,234.6,4.0,2.4,ok,
ddak.ittem,0,12,400327,2419510,1868.4,7260,3657.8,24.1,0.4,ok,
ddiyong_homecart,0,12,240407,1128698,280.4,2495,738.6,39.2,0.2,ok,
ddalkkaktem,0,12,17210,158729,204.5,1560,79.9,58.4,0.7,ok,
ddock_sun,0,12,130280,701461,3123.9,23600,1039.7,0.3,0.4,ok,
ddok._sori,0,12,18273,176016,148.0,1587,100.9,0.3,3.1,ok,
ddang.kongkuki,,,,,,,,,,unknown,
ddok.ping,0,12,7795,12286,251.6,637,66.9,0.1,16.8,ok,
ddok__tem,0,12,75157,327741,476.2,4082,1243.8,108.8,0.6,ok,
ddok_picks,0,12,3376,9529,60.0,264,21.8,0.0,3.7,ok,
ddoddo_ne_,,,,,,,,,,unknown,
ddongle._.life,0,12,2560,3705,36.6,114,15.2,18.2,1.3,ok,
