pick.json 사용 — unknown 2600 · known 406
전사 대상 3006편 (이미 받은 것 0편)
  2110/3006  성공1923 실패187
  2120/3006  성공1933 실패187
  2130/3006  성공1943 실패187
  2140/3006  성공1953 실패187
  2150/3006  성공1963 실패187
  2160/3006  성공1972 실패188
  2170/3006  성공1981 실패189
  2180/3006  성공1991 실패189
  2190/3006  성공2001 실패189
  2200/3006  성공2011 실패189
  2210/3006  성공2019 실패191
  2220/3006  성공2029 실패191
  2230/3006  성공2038 실패192
  2240/3006  성공2047 실패193
  2250/3006  성공2057 실패193
  2260/3006  성공2066 실패194
  2270/3006  성공2076 실패194
  2280/3006  성공2086 실패194
  2290/3006  성공2095 실패195
  2300/3006  성공2105 실패195
  2310/3006  성공2115 실패195
  2320/3006  성공2123 실패197
  2330/3006  성공2133 실패197
  2340/3006  성공2142 실패198
  2350/3006  성공2150 실패200
  2360/3006  성공2159 실패201
  2370/3006  성공2168 실패202
  2380/3006  성공2178 실패202
  2390/3006  성공2188 실패202
  2400/3006  성공2197 실패203
  2410/3006  성공2207 실패203
  2420/3006  성공2216 실패204
  2430/3006  성공2223 실패207
  2440/3006  성공2233 실패207
  2450/3006  성공2243 실패207
  2460/3006  성공2253 실패207
  2470/3006  성공2262 실패208
  2480/3006  성공2270 실패210
  2490/3006  성공2280 실패210
  2500/3006  성공2289 실패211
  2510/3006  성공2297 실패213
  2520/3006  성공2307 실패213
  2530/3006  성공2317 실패213
  2540/3006  성공2326 실패214
  2550/3006  성공2336 실패214
  2560/3006  성공2345 실패215
  2570/3006  성공2354 실패216
  2580/3006  성공2362 실패218
  2590/3006  성공2369 실패221
  2600/3006  성공2373 실패227
  2610/3006  성공2383 실패227
  2620/3006  성공2393 실패227
  2630/3006  성공2403 실패227
  2640/3006  성공2413 실패227
  2650/3006  성공2423 실패227
  2660/3006  성공2433 실패227
  2670/3006  성공2443 실패227
  2680/3006  성공2453 실패227
  2690/3006  성공2463 실패227
  2700/3006  성공2473 실패227
  2710/3006  성공2483 실패227
  2720/3006  성공2492 실패228
  2730/3006  성공2502 실패228
  2740/3006  성공2512 실패228
  2750/3006  성공2522 실패228
  2760/3006  성공2532 실패228
  2770/3006  성공2542 실패228
  2780/3006  성공2552 실패228
  2790/3006  성공2562 실패228
  2800/3006  성공2572 실패228
  2810/3006  성공2582 실패228
  2820/3006  성공2592 실패228
  2830/3006  성공2602 실패228
  2840/3006  성공2612 실패228
  2850/3006  성공2622 실패228
  2860/3006  성공2627 실패233
  2870/3006  성공2635 실패235
  2880/3006  성공2642 실패238
  2890/3006  성공2649 실패241
  2900/3006  성공2657 실패243
  2910/3006  성공2666 실패244
  2920/3006  성공2676 실패244
  2930/3006  성공2685 실패245
  2940/3006  성공2694 실패246
  2950/3006  성공2704 실패246
  2960/3006  성공2712 실패248
  2970/3006  성공2721 실패249
  2980/3006  성공2730 실패250
  2990/3006  성공2739 실패251
  3000/3006  성공2749 실패251
  3006/3006  성공2752 실패254

끝 — 성공 2752 · 자막없음 254
