category,channel_title,channel_id,channel_url,top_views,sample_title,status
혼합형,JaeyeonJ,UCjOKjUdFUKIiyMZJL41lrag,https://www.youtube.com/channel/UCjOKjUdFUKIiyMZJL41lrag,732133,동그라미 립 메이크업 #beauty,이미있음
혼합형,스타템픽,UC7hNqbyhyN5FLro2pbbc_tw,https://www.youtube.com/channel/UC7hNqbyhyN5FLro2pbbc_tw,548233,우울할 때 메이크업 받기 #메이크업 #makeup #메이크업튜토리얼 #makeuptutorial #블러셔 #,이미있음
혼합형,오션 OCEAN,UCSx-2fuyotB8WA8KytyhACg,https://www.youtube.com/channel/UCSx-2fuyotB8WA8KytyhACg,530014,화장 다 했는데 뭔~가 아쉬울때 따라해보세용✨️,이미있음
혼합형,이삼십,UCFUcQCsH_rKm9G6PwU2kMEQ,https://www.youtube.com/channel/UCFUcQCsH_rKm9G6PwU2kMEQ,524585,메이크업 영상 따라하는 나,이미있음
혼합형,진뉴 JINNEW,UCK3L6x0ZGU-2cfTDMLnmUyw,https://www.youtube.com/channel/UCK3L6x0ZGU-2cfTDMLnmUyw,512280,45만원 이미지컨설팅 받으면 대체 뭘 봐줄까..? 두상부터 뼈까지 분석 당하고옴 #이미지컨설팅,이미있음
혼합형,누리뉘리,UC1UfsucjJym1UcOnpfPZsrg,https://www.youtube.com/channel/UC1UfsucjJym1UcOnpfPZsrg,503371,남자들은 뷰티 꿀팁 하지 마라,이미있음
혼합형,오!모 oh!mo art,UCPsISZLiGZnThqIJ3o_egmA,https://www.youtube.com/channel/UCPsISZLiGZnThqIJ3o_egmA,457456,거제 야호~🔥수박에 리센느 원이 메이크업🧡 @RESCENE_official @helloiamwoninicet,이미있음
혼합형,Minsco 민스코,UCTQGAYPtbnCEfW9IGx65kiw,https://www.youtube.com/channel/UCTQGAYPtbnCEfW9IGx65kiw,400373,뷰튜버 11년의 역사🔥,이미있음
혼합형,생활비타민,UCjDwKgiskvAX6TEgnVAzulQ,https://www.youtube.com/channel/UCjDwKgiskvAX6TEgnVAzulQ,400019,다이소에 이거 보이면 무조건 집어와야하는 뷰티꿀템,이미있음
혼합형,시은니야,UCxVaWNEWX2OKuQNeXfiwBPA,https://www.youtube.com/channel/UCxVaWNEWX2OKuQNeXfiwBPA,399594,화알못이 화장하면 생기는 일 ㄷㄷ,이미있음
홈템,따먹세끼,UCFz7H96RXU_Kvrj4q3BN7aQ,https://www.youtube.com/channel/UCFz7H96RXU_Kvrj4q3BN7aQ,2108174,살림쟁이들이 꼭 쟁여둔다는 다이소 추천템 TOP10 총정리,이미있음
홈템,꾸미템,UCz7Xamne5SbBrsv-6Qcno2Q,https://www.youtube.com/channel/UCz7Xamne5SbBrsv-6Qcno2Q,871659,한국인 95%가 모르는 귀 청소 방법 #귀청소 #귀지제거 #면봉 #인생템 #가성비템,이미있음
홈템,아이템홈,UC7RASIHu7B9QtjD81yWOYMQ,https://www.youtube.com/channel/UC7RASIHu7B9QtjD81yWOYMQ,665627,또 사고쳐버린 다이소 #생활꿀템 #자취템 #생활용품 #주방꿀템,이미있음
홈템,꿀템줍줍,UC0DO9iVMCdUOwRRnLcg94hw,https://www.youtube.com/channel/UC0DO9iVMCdUOwRRnLcg94hw,539544,🔥 다이소에서 보이면 무조건 사야되는!! 정리 꿀템 다이소 접시선반(0280번),이미있음
홈템,텅장주의,UCfcM9RkfntkTH0pCwd4vSPA,https://www.youtube.com/channel/UCfcM9RkfntkTH0pCwd4vSPA,461227,요즘 품절대란이라는 다이소 신상&amp;꿀템 BEST4,이미있음
홈템,살림인,UCc6H0jGtbqYkM083kX_4Vtg,https://www.youtube.com/channel/UCc6H0jGtbqYkM083kX_4Vtg,386906,1만원대 쿠팡 청소템 4가지,이미있음
홈템,살림로그_살림을 기록하다.,UCx8uFUihkZnQRU6lVJXs7Dg,https://www.youtube.com/channel/UCx8uFUihkZnQRU6lVJXs7Dg,375491,안사면 후회하는 다이소 주방 혁명템 3가지 #다이소꿀템 #다이소추천템 #살림꿀템,이미있음
