채널ID,등급,상태,평균조회수,최대조회수,평균댓글,최대댓글,평균좋아요,마지막업로드(일전),주당업로드,주소
sooa_login,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/sooa_login/
suamama_home,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/suamama_home/
the.careclean,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/the.careclean/
the.one6175,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/the.one6175/
tip_is_moa,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/tip_is_moa/
wendy,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/wendy/
yeosago,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/yeosago/
yuja_item,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/yuja_item/
yuya,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/yuya/
zambok,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/zambok/
zambok_us,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/zambok_us/
zip_solution,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/zip_solution/
wesandalisontips,X,휴면(60일+),14234223,58819248,882.6,3243,203187.6,61.5,0.1,https://www.instagram.com/wesandalisontips/
jay,X,휴면(60일+),635904,967388,596.3,1078,24695.7,76.4,,https://www.instagram.com/jay/
kkul_tem_zip,X,폐업(100일+),499914,3661849,3190.9,15798,1376.2,110.3,0.2,https://www.instagram.com/kkul_tem_zip/
salim__box,X,폐업(100일+),498304,2627026,164.5,990,2859.8,149.1,0.2,https://www.instagram.com/salim__box/
home_it.em,X,폐업(100일+),442027,4180127,556.6,2720,6851.0,411.5,1.3,https://www.instagram.com/home_it.em/
lupang_note,X,폐업(100일+),393259,4613434,57.8,547,4260.9,139.0,0.9,https://www.instagram.com/lupang_note/
lazy.salim,X,폐업(100일+),363383,1586042,77.2,166,2099.8,318.0,0.2,https://www.instagram.com/lazy.salim/
shoppinghottem,X,폐업(100일+),342485,3381520,1067.6,10602,3044.4,379.2,0.7,https://www.instagram.com/shoppinghottem/
salimaje_official,X,폐업(100일+),326419,2709361,41.4,107,1472.6,203.5,1.0,https://www.instagram.com/salimaje_official/
suuku_kurashi,X,폐업(100일+),304088,1729343,12.3,31,2566.1,169.0,0.9,https://www.instagram.com/suuku_kurashi/
ggultem.hari,X,폐업(100일+),293846,3212179,166.3,944,6124.2,149.3,0.7,https://www.instagram.com/ggultem.hari/
hea.lthy_9531,X,휴면(60일+),293462,776394,62.2,134,5403.0,68.6,0.4,https://www.instagram.com/hea.lthy_9531/
m.i.n.a.r.y.home,X,휴면(60일+),272164,1299512,52.4,180,1338.8,62.0,0.3,https://www.instagram.com/m.i.n.a.r.y.home/
justme_th1ngs,X,폐업(100일+),270750,2746425,36.3,120,3576.7,173.5,0.9,https://www.instagram.com/justme_th1ngs/
this.picks,X,휴면(60일+),259544,2728710,111.2,389,1252.7,65.1,1.6,https://www.instagram.com/this.picks/
jip_tem,X,폐업(100일+),252468,2505276,59.9,508,1593.7,100.5,0.7,https://www.instagram.com/jip_tem/
bestkagu_new,X,폐업(100일+),249101,1151822,11.9,75,3.0,198.1,1.1,https://www.instagram.com/bestkagu_new/
homgoods365,X,휴면(60일+),248025,2074374,911.0,4499,1372.3,73.1,0.5,https://www.instagram.com/homgoods365/
bever_tem,X,폐업(100일+),186058,1849344,17.1,134,491.8,248.1,0.3,https://www.instagram.com/bever_tem/
fancyfind_homedecor,X,폐업(100일+),163691,1679556,3.7,12,216.2,380.9,42.0,https://www.instagram.com/fancyfind_homedecor/
home.it.tem,X,폐업(100일+),161748,1224007,12.2,84,1407.9,664.8,0.3,https://www.instagram.com/home.it.tem/
salim_be_rry,X,폐업(100일+),151143,1024051,1719.2,13951,975.4,120.0,0.4,https://www.instagram.com/salim_be_rry/
ggulpick_king,X,휴면(60일+),140436,1041170,39.5,348,720.8,76.1,0.4,https://www.instagram.com/ggulpick_king/
saedaek_item,X,휴면(60일+),121604,742075,1441.8,12464,234.1,80.1,0.5,https://www.instagram.com/saedaek_item/
kkultem._.note,X,폐업(100일+),118693,601031,815.0,7673,654.5,130.5,0.7,https://www.instagram.com/kkultem._.note/
salim._.bot,X,휴면(60일+),116784,846884,3504.1,20594,853.7,80.5,0.9,https://www.instagram.com/salim._.bot/
protem.note,X,폐업(100일+),114374,642273,1935.4,13099,332.1,116.3,0.5,https://www.instagram.com/protem.note/
blu.lemonayd,X,폐업(100일+),109615,1003621,50.5,460,10176.4,133.1,0.8,https://www.instagram.com/blu.lemonayd/
daerangmom,X,휴면(60일+),97860,329232,362.7,3134,267.3,100.0,0.2,https://www.instagram.com/daerangmom/
jini._.homedit,X,폐업(100일+),95950,653399,1574.8,9153,594.2,101.0,1.4,https://www.instagram.com/jini._.homedit/
itemlog_itemlog,X,폐업(100일+),90692,511513,807.2,5879,727.9,153.3,0.7,https://www.instagram.com/itemlog_itemlog/
40brich,X,폐업(100일+),88955,762344,162.8,1786,163.8,167.0,0.5,https://www.instagram.com/40brich/
sal.kung,X,휴면(60일+),88274,509754,771.2,4450,461.0,60.3,0.5,https://www.instagram.com/sal.kung/
haru._.item,X,휴면(60일+),84799,610674,1924.7,22001,310.2,64.4,0.9,https://www.instagram.com/haru._.item/
salim.kokko,X,폐업(100일+),84279,902877,286.8,2962,34.2,172.8,0.8,https://www.instagram.com/salim.kokko/
home.basket_0,X,폐업(100일+),77828,377600,410.7,2524,271.5,160.5,2.0,https://www.instagram.com/home.basket_0/
ara.ggomzirack,X,폐업(100일+),68058,342154,584.5,4626,278.7,140.3,0.6,https://www.instagram.com/ara.ggomzirack/
sweet.homezz,X,폐업(100일+),66113,727101,722.6,7931,223.0,128.1,1.0,https://www.instagram.com/sweet.homezz/
muzipsa_home,X,휴면(60일+),63900,443506,53.0,147,242.2,76.0,1.9,https://www.instagram.com/muzipsa_home/
salgu.tem,X,휴면(60일+),61522,613873,32.9,87,302.8,92.0,0.6,https://www.instagram.com/salgu.tem/
yumndiet,X,폐업(100일+),57132,207367,313.3,1118,473.2,113.1,1.4,https://www.instagram.com/yumndiet/
pumjeolgak,X,폐업(100일+),56665,615953,93.5,856,142.0,147.2,3.7,https://www.instagram.com/pumjeolgak/
jojjubu,X,폐업(100일+),54132,390014,123.7,1162,577.2,108.1,0.6,https://www.instagram.com/jojjubu/
sister_home_it,X,휴면(60일+),53920,502587,631.4,6584,307.2,61.1,0.4,https://www.instagram.com/sister_home_it/
kkultemjubjub,X,휴면(60일+),51800,338260,307.6,1852,276.5,68.0,0.5,https://www.instagram.com/kkultemjubjub/
blackkittytem,X,폐업(100일+),48304,217291,24.4,208,1961.4,179.9,0.7,https://www.instagram.com/blackkittytem/
the_habi_home,X,폐업(100일+),39351,461363,1004.3,12047,260.2,100.2,0.5,https://www.instagram.com/the_habi_home/
allabout.homedecor,X,폐업(100일+),37825,299128,36.8,67,1141.8,284.1,1.5,https://www.instagram.com/allabout.homedecor/
banana.tem,X,폐업(100일+),36177,183838,17.2,35,172.3,230.5,2.4,https://www.instagram.com/banana.tem/
ojirap_salim,X,휴면(60일+),35963,184032,18.7,44,227.9,82.0,2.5,https://www.instagram.com/ojirap_salim/
home_mumu_shop,X,휴면(60일+),35370,237327,6.8,53,118.9,94.1,2.3,https://www.instagram.com/home_mumu_shop/
dam_a_dum,X,휴면(60일+),34139,215485,132.9,1353,175.2,95.4,0.5,https://www.instagram.com/dam_a_dum/
sallim._.nori,X,휴면(60일+),32844,389960,537.9,6435,217.3,75.1,0.5,https://www.instagram.com/sallim._.nori/
yuls__house,X,휴면(60일+),32662,248136,377.1,3688,174.2,60.4,0.9,https://www.instagram.com/yuls__house/
liketem.zip,X,휴면(60일+),32446,147967,101.5,479,235.6,88.9,0.8,https://www.instagram.com/liketem.zip/
hola_.living,X,폐업(100일+),32364,376354,30.8,299,141.2,179.5,1.1,https://www.instagram.com/hola_.living/
cleanking_uni,X,휴면(60일+),31819,122876,401.6,1929,177.8,93.0,5.2,https://www.instagram.com/cleanking_uni/
b_b.salim,X,폐업(100일+),29882,193459,257.5,1650,99.5,123.9,1.2,https://www.instagram.com/b_b.salim/
salimstar24,X,폐업(100일+),29131,94637,975.7,3127,254.1,150.3,1.8,https://www.instagram.com/salimstar24/
housewarming_party,X,폐업(100일+),28404,260926,485.5,3932,147.5,107.3,3.0,https://www.instagram.com/housewarming_party/
nyang._.ggul,X,폐업(100일+),25204,264852,63.9,481,145.8,241.3,2.1,https://www.instagram.com/nyang._.ggul/
geniedeco_official,X,휴면(60일+),25120,288468,215.6,2493,178.1,92.2,1.2,https://www.instagram.com/geniedeco_official/
vitaa_home,X,휴면(60일+),24757,285539,158.5,1793,71.5,76.3,1.3,https://www.instagram.com/vitaa_home/
minutecurator,X,폐업(100일+),23080,54751,5.4,10,164.4,212.1,6.5,https://www.instagram.com/minutecurator/
appa_pick,X,폐업(100일+),22138,180046,611.2,4850,209.4,176.5,2.1,https://www.instagram.com/appa_pick/
the_vibe_finds,X,폐업(100일+),20956,198020,111.8,1279,125.7,233.1,1.5,https://www.instagram.com/the_vibe_finds/
jinimom.pick,X,폐업(100일+),20174,146479,295.6,3206,173.2,180.3,0.5,https://www.instagram.com/jinimom.pick/
lucent_home23,X,폐업(100일+),20108,145868,303.2,1969,333.0,113.8,0.8,https://www.instagram.com/lucent_home23/
salim__tips,X,폐업(100일+),19788,119000,13.2,83,38.5,149.4,1.0,https://www.instagram.com/salim__tips/
homefinds.maggie,X,폐업(100일+),19722,27795,3.5,8,149.4,377.3,1.3,https://www.instagram.com/homefinds.maggie/
zipdori.tem,X,폐업(100일+),19401,165060,347.4,3458,87.1,157.0,1.4,https://www.instagram.com/zipdori.tem/
zachi_rabbit,X,휴면(60일+),19283,133665,167.1,764,117.5,70.5,1.7,https://www.instagram.com/zachi_rabbit/
simplosophy25,X,폐업(100일+),18434,186149,52.5,321,104.3,220.5,3.4,https://www.instagram.com/simplosophy25/
emerald.lving.home,X,폐업(100일+),17273,180437,29.3,214,60.3,186.4,6.0,https://www.instagram.com/emerald.lving.home/
oharu.haus,X,폐업(100일+),17165,158247,62.8,353,45.2,120.5,7.0,https://www.instagram.com/oharu.haus/
ancco.home,X,폐업(100일+),16862,23171,0.0,0,71.5,496.4,3.5,https://www.instagram.com/ancco.home/
salimbanana,X,폐업(100일+),15958,119885,353.2,3434,100.7,111.5,1.1,https://www.instagram.com/salimbanana/
hometem_diary,X,폐업(100일+),15768,70082,53.2,155,89.5,149.5,1.0,https://www.instagram.com/hometem_diary/
sallimnam0,X,휴면(60일+),14795,146831,224.2,2451,103.9,82.9,2.2,https://www.instagram.com/sallimnam0/
home.living.lab,X,폐업(100일+),13519,109535,278.8,2133,114.9,163.1,1.2,https://www.instagram.com/home.living.lab/
need.tem,X,폐업(100일+),12834,136997,117.8,1370,64.0,115.1,4.0,https://www.instagram.com/need.tem/
switi.home,X,폐업(100일+),12705,69332,455.0,4790,55.1,109.0,1.3,https://www.instagram.com/switi.home/
harry___home,X,휴면(60일+),11785,129701,116.8,1269,42.0,84.7,1.3,https://www.instagram.com/harry___home/
living._.home,X,폐업(100일+),11655,77796,47.9,223,30.3,235.1,7.6,https://www.instagram.com/living._.home/
salim_bonsaek,X,폐업(100일+),11591,73089,53.8,99,82.8,240.1,7.0,https://www.instagram.com/salim_bonsaek/
tem._.soo.ni,X,휴면(60일+),11533,98933,318.2,2513,98.2,63.1,7.0,https://www.instagram.com/tem._.soo.ni/
health_minimal,X,휴면(60일+),11350,28324,69.3,277,32.2,73.0,0.7,https://www.instagram.com/health_minimal/
siri.yori,X,휴면(60일+),11336,81855,29.5,180,36.2,92.2,1.1,https://www.instagram.com/siri.yori/
salimdepot,X,폐업(100일+),10916,18954,294.6,1056,52.5,193.1,3.1,https://www.instagram.com/salimdepot/
gasungbimoa,X,폐업(100일+),10056,102800,9.9,70,30.2,230.5,1.7,https://www.instagram.com/gasungbimoa/
tembbal.salimnam,X,휴면(60일+),9600,75862,57.4,184,34.1,79.5,6.5,https://www.instagram.com/tembbal.salimnam/
daily_upitem,X,폐업(100일+),9330,107491,4.7,20,19.7,117.0,0.7,https://www.instagram.com/daily_upitem/
hanyanglive,X,폐업(100일+),9122,26606,5.7,37,18.1,116.1,8.4,https://www.instagram.com/hanyanglive/
todays_items,X,휴면(60일+),8749,33562,111.3,411,15.3,65.4,6.5,https://www.instagram.com/todays_items/
appa_jangbi,X,폐업(100일+),8677,64273,18.5,155,13.1,111.2,0.6,https://www.instagram.com/appa_jangbi/
salim__touch,X,폐업(100일+),7240,15206,78.2,264,36.3,158.1,5.6,https://www.instagram.com/salim__touch/
jibeuro_home,X,폐업(100일+),7044,47018,60.2,97,32.1,125.5,6.5,https://www.instagram.com/jibeuro_home/
tem.bee77,X,폐업(100일+),6300,26486,53.1,70,42.3,129.5,7.6,https://www.instagram.com/tem.bee77/
homekkun,X,휴면(60일+),5957,41473,109.5,544,50.2,98.5,1.9,https://www.instagram.com/homekkun/
pick_3300,X,폐업(100일+),5915,16015,60.9,121,44.5,232.1,12.0,https://www.instagram.com/pick_3300/
ziptemshop,X,폐업(100일+),5913,26318,48.7,276,18.0,106.3,7.0,https://www.instagram.com/ziptemshop/
quickfixdiy,X,폐업(100일+),5795,33635,0.0,0,4.7,1101.1,0.4,https://www.instagram.com/quickfixdiy/
joara_choice,X,폐업(100일+),5266,24230,25.7,53,18.6,104.5,5.6,https://www.instagram.com/joara_choice/
bagnbuy.life,X,폐업(100일+),5193,23147,23.8,47,14.9,137.5,3.7,https://www.instagram.com/bagnbuy.life/
zoa.tem,X,폐업(100일+),5066,20761,53.8,78,35.1,160.1,7.0,https://www.instagram.com/zoa.tem/
meer.pick,X,폐업(100일+),4820,24952,17.4,113,18.4,135.9,7.6,https://www.instagram.com/meer.pick/
homegoodscenter.kr,X,폐업(100일+),4716,14062,0.5,3,4.4,263.3,0.1,https://www.instagram.com/homegoodscenter.kr/
gaemsung._.goods,X,폐업(100일+),4557,21887,114.8,307,46.8,118.5,1.4,https://www.instagram.com/gaemsung._.goods/
homevibe_tem,X,폐업(100일+),4273,17368,24.2,187,11.8,210.1,4.0,https://www.instagram.com/homevibe_tem/
yuntaek_hangirl,X,폐업(100일+),4226,13268,32.0,212,26.5,155.1,3.4,https://www.instagram.com/yuntaek_hangirl/
moosim.ko,X,폐업(100일+),4062,8616,1.8,5,13.8,249.1,6.0,https://www.instagram.com/moosim.ko/
salim_jejakso,X,폐업(100일+),3827,23637,14.7,36,9.1,166.9,4.9,https://www.instagram.com/salim_jejakso/
sosoreview1,X,폐업(100일+),3789,32667,53.6,376,29.5,130.0,0.7,https://www.instagram.com/sosoreview1/
we_life_love28,X,폐업(100일+),3682,8135,60.8,331,26.9,145.5,2.7,https://www.instagram.com/we_life_love28/
petit_deco_home,X,폐업(100일+),3536,10567,38.2,281,25.8,117.1,8.4,https://www.instagram.com/petit_deco_home/
stay_mood_home,X,폐업(100일+),3403,11538,110.5,501,37.9,109.5,4.4,https://www.instagram.com/stay_mood_home/
dahae._.bom,X,폐업(100일+),3281,9222,78.2,122,35.2,130.4,9.3,https://www.instagram.com/dahae._.bom/
sagil4949,X,폐업(100일+),3168,16664,4.1,7,17.7,181.1,2.8,https://www.instagram.com/sagil4949/
sallim.hack,X,폐업(100일+),3070,6517,27.6,44,34.3,238.0,7.0,https://www.instagram.com/sallim.hack/
home._.guide,X,휴면(60일+),2930,7035,28.2,66,13.3,64.2,6.5,https://www.instagram.com/home._.guide/
ghddudal0150,X,폐업(100일+),2898,4670,21.8,39,12.8,254.3,1.0,https://www.instagram.com/ghddudal0150/
sallim_jibsa,X,폐업(100일+),2785,5760,17.5,40,10.3,181.0,1.3,https://www.instagram.com/sallim_jibsa/
ggomggom_nammae,X,폐업(100일+),2774,9679,47.7,192,24.7,128.5,5.2,https://www.instagram.com/ggomggom_nammae/
salim_knowhow,X,폐업(100일+),2763,6328,104.4,359,37.2,142.5,8.4,https://www.instagram.com/salim_knowhow/
mommy_pickk,X,폐업(100일+),2628,11521,59.3,139,44.1,241.5,6.0,https://www.instagram.com/mommy_pickk/
jays.iei,X,폐업(100일+),2604,10054,24.1,111,8.8,129.1,1.8,https://www.instagram.com/jays.iei/
lua_sebiga,X,폐업(100일+),2571,9723,5.3,8,105.3,465.8,0.3,https://www.instagram.com/lua_sebiga/
malang.0.pick,X,폐업(100일+),2550,8214,22.2,33,20.6,130.0,8.4,https://www.instagram.com/malang.0.pick/
stayhomeitems,X,폐업(100일+),2530,4964,48.3,112,22.6,131.1,4.4,https://www.instagram.com/stayhomeitems/
bombom_pick,X,폐업(100일+),2454,6519,47.6,91,22.0,137.5,2.5,https://www.instagram.com/bombom_pick/
gogohometem,X,휴면(60일+),2447,4586,170.0,217,91.3,90.5,3.5,https://www.instagram.com/gogohometem/
sia._.home,X,폐업(100일+),2441,16217,11.7,43,15.6,105.2,0.8,https://www.instagram.com/sia._.home/
hej__home,X,폐업(100일+),2428,4462,82.5,137,43.8,138.0,7.6,https://www.instagram.com/hej__home/
nunu.tem,X,폐업(100일+),2390,4418,42.0,60,16.7,119.1,4.7,https://www.instagram.com/nunu.tem/
yoon._.storyy,X,폐업(100일+),2374,8866,45.4,69,28.2,128.5,8.4,https://www.instagram.com/yoon._.storyy/
kkomzipsa.salim,X,폐업(100일+),2307,7899,43.2,71,24.4,128.5,7.6,https://www.instagram.com/kkomzipsa.salim/
unni._.home,X,폐업(100일+),2247,14117,21.4,60,20.2,225.1,7.0,https://www.instagram.com/unni._.home/
kkultem._.go,X,폐업(100일+),2139,7612,48.6,90,32.2,113.0,3.8,https://www.instagram.com/kkultem._.go/
chachaunni11,X,폐업(100일+),2052,3473,9.8,34,14.7,229.4,7.6,https://www.instagram.com/chachaunni11/
home_kkiri,X,폐업(100일+),2027,3535,43.1,111,19.2,150.1,6.5,https://www.instagram.com/home_kkiri/
joopilpick,X,폐업(100일+),1874,7184,49.0,141,24.8,139.4,4.7,https://www.instagram.com/joopilpick/
gamdasallim,X,폐업(100일+),1852,3792,31.2,63,33.2,248.5,7.6,https://www.instagram.com/gamdasallim/
life.ggul.tem,X,휴면(60일+),1792,3763,77.5,107,39.8,98.1,7.6,https://www.instagram.com/life.ggul.tem/
ourhome._.panda,X,휴면(60일+),1693,2985,48.1,79,27.2,65.1,5.6,https://www.instagram.com/ourhome._.panda/
pickinbloom1,X,폐업(100일+),1664,5011,8.8,35,5.1,112.5,14.0,https://www.instagram.com/pickinbloom1/
todaypickpick,X,휴면(60일+),1640,8789,19.9,53,10.4,90.4,0.5,https://www.instagram.com/todaypickpick/
interior__tip,X,폐업(100일+),1622,11565,4.2,15,13.3,219.5,5.2,https://www.instagram.com/interior__tip/
sundaypick1,X,폐업(100일+),1580,6238,57.8,88,39.6,239.1,7.6,https://www.instagram.com/sundaypick1/
home.step.salim,X,폐업(100일+),1498,5605,21.8,36,13.2,127.9,6.5,https://www.instagram.com/home.step.salim/
smart_plck,X,폐업(100일+),1497,3829,3.5,13,7.8,231.1,7.0,https://www.instagram.com/smart_plck/
supertem_log,X,폐업(100일+),1425,8753,2.5,10,4.4,141.9,1.8,https://www.instagram.com/supertem_log/
homen_item,X,폐업(100일+),1347,2662,28.5,39,21.2,170.4,5.2,https://www.instagram.com/homen_item/
jjittem,X,폐업(100일+),1311,2387,5.4,27,7.0,235.5,8.4,https://www.instagram.com/jjittem/
kkomi._.tem,X,폐업(100일+),1310,3468,47.8,61,25.6,108.5,4.0,https://www.instagram.com/kkomi._.tem/
lifestyle__savvy,X,폐업(100일+),1190,3522,48.8,71,36.3,229.5,7.0,https://www.instagram.com/lifestyle__savvy/
mom_peon,X,폐업(100일+),1177,2311,14.3,48,15.8,245.1,4.2,https://www.instagram.com/mom_peon/
home.salim.kr,X,휴면(60일+),1140,2510,18.9,73,8.5,94.8,4.2,https://www.instagram.com/home.salim.kr/
insaeng_salim,X,폐업(100일+),1121,5143,6.6,13,2.9,114.5,4.2,https://www.instagram.com/insaeng_salim/
open._.mytem,X,폐업(100일+),1097,5083,45.2,92,22.5,202.5,7.6,https://www.instagram.com/open._.mytem/
feel_so_goodtem,X,폐업(100일+),1084,2172,21.9,78,6.2,115.3,6.5,https://www.instagram.com/feel_so_goodtem/
du._.rum._.ma,X,휴면(60일+),1063,2751,42.0,64,24.2,96.0,5.2,https://www.instagram.com/du._.rum._.ma/
salim._.bee,X,폐업(100일+),1058,2078,42.8,74,23.1,130.0,9.3,https://www.instagram.com/salim._.bee/
home_living_note,X,폐업(100일+),1025,2019,36.0,53,24.7,128.1,8.4,https://www.instagram.com/home_living_note/
home_grim_life,X,폐업(100일+),1004,1282,17.2,27,8.8,120.1,4.9,https://www.instagram.com/home_grim_life/
daolmarket77,X,폐업(100일+),991,1614,3.1,17,3.8,206.1,4.7,https://www.instagram.com/daolmarket77/
churai_home,X,휴면(60일+),967,2827,10.2,33,7.4,69.0,2.5,https://www.instagram.com/churai_home/
salim___corner,X,폐업(100일+),960,5145,3.5,26,3.6,121.0,4.4,https://www.instagram.com/salim___corner/
vivi.hot.tem,X,폐업(100일+),947,2394,16.2,29,25.4,240.4,0.7,https://www.instagram.com/vivi.hot.tem/
yonyon.home,X,휴면(60일+),944,2770,7.0,12,52.6,95.4,0.3,https://www.instagram.com/yonyon.home/
honey.item.pick,X,폐업(100일+),928,3515,27.6,46,21.1,220.5,6.5,https://www.instagram.com/honey.item.pick/
livingarchive7,X,휴면(60일+),908,3577,35.2,155,20.3,91.5,0.8,https://www.instagram.com/livingarchive7/
ssmart__living,X,폐업(100일+),872,2068,17.8,25,13.6,218.4,6.5,https://www.instagram.com/ssmart__living/
younge.zip,X,폐업(100일+),861,861,15.0,15,3.0,251.9,,https://www.instagram.com/younge.zip/
newmal._.pick,X,휴면(60일+),810,3129,24.2,60,13.7,86.1,1.9,https://www.instagram.com/newmal._.pick/
lighthands_works,X,휴면(60일+),809,2295,3.2,13,1.4,94.5,0.8,https://www.instagram.com/lighthands_works/
annystory99,X,폐업(100일+),798,2874,2.3,5,3.5,128.5,9.3,https://www.instagram.com/annystory99/
bbori_2026,X,폐업(100일+),793,1864,15.0,25,7.9,129.5,28.0,https://www.instagram.com/bbori_2026/
honeytip_honeytem,X,휴면(60일+),785,2247,0.5,4,1.4,92.1,3.8,https://www.instagram.com/honeytip_honeytem/
atomiccrew_mkt,X,폐업(100일+),781,3292,1.3,2,12.5,235.2,2.5,https://www.instagram.com/atomiccrew_mkt/
uaa365,X,폐업(100일+),749,1115,0.1,1,1.2,171.0,3.8,https://www.instagram.com/uaa365/
lullu_salim,X,폐업(100일+),747,2515,6.8,11,9.0,106.1,4.0,https://www.instagram.com/lullu_salim/
hooni.home,X,휴면(60일+),715,1715,37.6,59,20.2,66.1,8.4,https://www.instagram.com/hooni.home/
best_ggul_tem,X,폐업(100일+),700,1542,14.6,27,13.3,229.5,8.4,https://www.instagram.com/best_ggul_tem/
home.sweet_mood,X,폐업(100일+),685,3217,12.7,58,10.8,225.2,3.4,https://www.instagram.com/home.sweet_mood/
leezooboo0,X,폐업(100일+),599,2077,26.8,76,12.1,158.5,3.0,https://www.instagram.com/leezooboo0/
tilting_9,X,폐업(100일+),555,2563,8.5,45,12.2,222.1,2.5,https://www.instagram.com/tilting_9/
daily_pick5,X,폐업(100일+),509,753,7.1,13,5.2,107.5,7.6,https://www.instagram.com/daily_pick5/
salrim.editorh,X,폐업(100일+),497,1242,14.5,17,13.3,123.5,0.4,https://www.instagram.com/salrim.editorh/
godlife_8282,X,폐업(100일+),487,642,26.8,45,15.9,210.0,7.6,https://www.instagram.com/godlife_8282/
it_tem_ida,X,폐업(100일+),478,1127,54.2,100,28.9,174.5,7.6,https://www.instagram.com/it_tem_ida/
cooktime,X,폐업(100일+),470,1613,0.5,2,2.9,487.0,0.1,https://www.instagram.com/cooktime/
vivi_tem_01,X,폐업(100일+),452,1090,17.4,50,18.7,225.4,1.6,https://www.instagram.com/vivi_tem_01/
live_on.zip,X,폐업(100일+),450,1874,11.2,23,7.2,232.1,3.7,https://www.instagram.com/live_on.zip/
living.n.me,X,휴면(60일+),440,2091,5.8,14,5.0,87.5,4.0,https://www.instagram.com/living.n.me/
opic.kshop,X,폐업(100일+),432,2333,13.8,28,10.8,233.4,7.0,https://www.instagram.com/opic.kshop/
bori_tem,X,휴면(60일+),415,1558,8.2,17,7.0,71.0,16.8,https://www.instagram.com/bori_tem/
zipggu.item,X,폐업(100일+),413,697,40.9,51,24.1,143.4,2.4,https://www.instagram.com/zipggu.item/
going_home11,X,폐업(100일+),408,982,3.6,7,7.2,186.1,3.7,https://www.instagram.com/going_home11/
salim_otter,X,폐업(100일+),406,720,14.7,35,23.6,244.8,2.5,https://www.instagram.com/salim_otter/
home_dot787,X,폐업(100일+),404,1775,1.2,6,2.2,132.4,4.2,https://www.instagram.com/home_dot787/
goodbuy_jihea,X,폐업(100일+),391,1038,1.3,3,4.7,247.5,3.9,https://www.instagram.com/goodbuy_jihea/
templex,X,폐업(100일+),375,1532,1.0,6,22.4,1318.3,,https://www.instagram.com/templex/
baro._.now,X,폐업(100일+),370,576,7.3,19,27.5,244.5,1.5,https://www.instagram.com/baro._.now/
days_mompick,X,폐업(100일+),368,691,30.8,41,3.0,104.0,5.2,https://www.instagram.com/days_mompick/
lim_salim1020,X,폐업(100일+),368,659,1.0,2,2.5,310.8,0.1,https://www.instagram.com/lim_salim1020/
home.living.log,X,휴면(60일+),348,721,22.1,54,12.2,66.5,1.9,https://www.instagram.com/home.living.log/
family.pick,X,폐업(100일+),327,846,32.2,94,18.8,233.5,8.4,https://www.instagram.com/family.pick/
today_tem.note,X,폐업(100일+),278,278,11.0,11,31.0,267.1,,https://www.instagram.com/today_tem.note/
home_pick_guide,X,휴면(60일+),268,391,23.4,37,13.2,80.5,3.7,https://www.instagram.com/home_pick_guide/
onair_myspace,X,폐업(100일+),267,382,5.8,15,3.2,137.5,2.0,https://www.instagram.com/onair_myspace/
mongya220,X,폐업(100일+),242,336,1.2,6,33.8,244.9,1.6,https://www.instagram.com/mongya220/
home_edition1,X,폐업(100일+),230,435,3.5,19,2.2,120.3,7.0,https://www.instagram.com/home_edition1/
muk_hyonini,X,폐업(100일+),225,435,7.0,20,27.3,252.1,1.5,https://www.instagram.com/muk_hyonini/
ggultem_ida,X,폐업(100일+),215,215,9.0,9,5.0,237.7,,https://www.instagram.com/ggultem_ida/
salim_kkuna,X,휴면(60일+),205,1131,0.5,1,1.0,83.3,2.2,https://www.instagram.com/salim_kkuna/
bungu,X,폐업(100일+),197,197,0.0,0,3.0,103.9,,https://www.instagram.com/bungu/
salimgongsik,X,폐업(100일+),179,226,2.8,5,5.1,171.0,4.7,https://www.instagram.com/salimgongsik/
cozynest_shop,X,폐업(100일+),169,325,0.0,0,2.0,2051.1,,https://www.instagram.com/cozynest_shop/
semojoa1,X,폐업(100일+),146,181,0.0,0,2.3,151.4,1.6,https://www.instagram.com/semojoa1/
joyful_mom_picks,X,폐업(100일+),145,177,0.6,4,1.4,245.1,7.6,https://www.instagram.com/joyful_mom_picks/
tem_cokcok,X,폐업(100일+),136,350,3.0,8,6.6,230.2,2.3,https://www.instagram.com/tem_cokcok/
