채널ID,등급,상태,평균조회수,최대조회수,평균댓글,최대댓글,평균좋아요,마지막업로드(일전),주당업로드,주소
happylittleshop0,D,활성,2672,10799,5.3,18,7.4,0.5,0.5,https://www.instagram.com/happylittleshop0/
moman_home,D,활성,2658,14302,73.4,383,9.2,3.1,7.0,https://www.instagram.com/moman_home/
simplejoy_living,D,저활동(14일+),2652,10655,27.8,156,12.0,55.1,0.6,https://www.instagram.com/simplejoy_living/
lifeinside_instar,D,활성,2561,12113,16.9,74,11.1,0.6,0.3,https://www.instagram.com/lifeinside_instar/
yeowootem,D,저활동(14일+),2524,8784,72.3,178,34.3,30.5,3.1,https://www.instagram.com/yeowootem/
yeonytem,D,활성,2512,7764,32.0,127,13.7,5.5,1.4,https://www.instagram.com/yeonytem/
the.jenny.home,D,활성,2470,5513,97.2,133,47.1,0.5,7.0,https://www.instagram.com/the.jenny.home/
sallimpanda,D,활성,2350,5557,15.2,69,12.1,2.3,0.9,https://www.instagram.com/sallimpanda/
golla.zoom,D,활성,2344,6486,32.3,164,8.2,1.9,9.3,https://www.instagram.com/golla.zoom/
2daero_recipe,D,활성,2326,5868,55.7,112,31.0,0.0,8.4,https://www.instagram.com/2daero_recipe/
ssocer77,D,활성,2316,17742,6.6,31,7.7,0.3,7.6,https://www.instagram.com/ssocer77/
pickvault9,D,저활동(14일+),2287,5717,27.7,71,13.8,16.4,2.7,https://www.instagram.com/pickvault9/
youjapick,D,활성,2279,4437,34.1,50,15.3,4.5,8.4,https://www.instagram.com/youjapick/
ppobi_tem,D,저활동(14일+),2233,3951,35.0,81,20.2,15.5,5.6,https://www.instagram.com/ppobi_tem/
songyi._.room,D,활성,2224,5326,38.5,73,21.3,0.2,1.8,https://www.instagram.com/songyi._.room/
hy.ni_homes,D,활성,2212,5257,51.5,84,33.2,9.2,0.6,https://www.instagram.com/hy.ni_homes/
candycat111,D,활성,2211,3459,5.8,14,4.8,1.4,5.2,https://www.instagram.com/candycat111/
o_ho_ra3,D,저활동(14일+),2143,4632,66.8,127,36.2,44.5,3.1,https://www.instagram.com/o_ho_ra3/
nuya.pick,D,활성,2140,8357,70.2,123,38.8,0.5,7.6,https://www.instagram.com/nuya.pick/
review_yeosin,D,활성,2138,4753,51.2,162,21.9,0.9,0.6,https://www.instagram.com/review_yeosin/
shopping_genius1206,D,활성,2109,5010,13.9,135,6.0,0.3,7.0,https://www.instagram.com/shopping_genius1206/
dailyuse.pick,D,활성,2099,3467,5.7,32,9.5,3.1,8.4,https://www.instagram.com/dailyuse.pick/
bongbongtem,D,활성,2096,10011,63.7,170,32.9,0.5,8.4,https://www.instagram.com/bongbongtem/
rorotalk,D,저활동(14일+),2086,4256,19.9,38,9.8,35.4,2.5,https://www.instagram.com/rorotalk/
homequeen_12,D,활성,2081,3272,28.6,59,11.7,1.4,6.5,https://www.instagram.com/homequeen_12/
soso.sallim_log,D,활성,2066,5609,5.4,25,17.8,4.1,1.3,https://www.instagram.com/soso.sallim_log/
live._.in.terior,D,활성,2057,5900,36.0,67,23.3,1.4,7.0,https://www.instagram.com/live._.in.terior/
cherry.__.home,D,활성,2033,3992,40.7,105,18.6,11.4,6.5,https://www.instagram.com/cherry.__.home/
se.yeon_room,D,저활동(14일+),1994,6595,25.9,51,6.9,17.9,4.9,https://www.instagram.com/se.yeon_room/
shopping_manager,D,활성,1956,4715,7.8,18,9.5,0.1,5.6,https://www.instagram.com/shopping_manager/
3nam_fam,D,저활동(14일+),1926,4310,52.2,129,13.9,36.5,7.6,https://www.instagram.com/3nam_fam/
slowmomlife.finds,D,활성,1916,18272,9.1,57,5.8,0.1,16.8,https://www.instagram.com/slowmomlife.finds/
gom_ju_bu,D,활성,1915,6570,41.5,194,13.0,0.1,7.6,https://www.instagram.com/gom_ju_bu/
eric.noon,D,저활동(14일+),1909,4059,38.2,103,18.2,16.2,5.6,https://www.instagram.com/eric.noon/
choice_yi,D,활성,1887,2978,7.7,25,5.5,2.1,6.5,https://www.instagram.com/choice_yi/
__flowo,D,활성,1869,3680,81.6,205,35.5,0.5,7.6,https://www.instagram.com/__flowo/
livingitem_leb,D,활성,1847,3895,9.2,35,14.9,1.9,1.1,https://www.instagram.com/livingitem_leb/
minspick_daily,D,활성,1825,11195,46.4,279,17.8,0.2,7.6,https://www.instagram.com/minspick_daily/
hi.rina.daily,D,활성,1813,10119,6.9,24,4.2,0.4,9.3,https://www.instagram.com/hi.rina.daily/
how___life,D,저활동(14일+),1803,2695,19.0,57,8.3,51.1,0.5,https://www.instagram.com/how___life/
la.la_home,D,활성,1766,6124,22.3,39,11.4,1.5,2.7,https://www.instagram.com/la.la_home/
kok.pick,D,활성,1743,7376,56.3,151,29.7,0.1,7.0,https://www.instagram.com/kok.pick/
honeyjini_mood,D,활성,1724,4286,27.3,43,7.9,3.2,3.8,https://www.instagram.com/honeyjini_mood/
salim._.ittem,D,저활동(14일+),1699,2588,26.7,42,18.2,34.5,6.5,https://www.instagram.com/salim._.ittem/
salim_katok,D,활성,1672,3341,43.8,121,14.7,0.5,7.6,https://www.instagram.com/salim_katok/
kkomjihome,D,저활동(14일+),1664,4679,13.0,49,14.3,29.4,0.4,https://www.instagram.com/kkomjihome/
temkong.zip,D,저활동(14일+),1664,4141,49.8,75,26.8,26.5,6.0,https://www.instagram.com/temkong.zip/
uhome._.mehome,D,활성,1645,6027,40.4,81,23.2,0.5,7.6,https://www.instagram.com/uhome._.mehome/
homelyst.edit,D,활성,1620,5785,27.3,82,14.3,0.1,7.6,https://www.instagram.com/homelyst.edit/
yayas_stories,D,활성,1600,3274,6.1,16,18.8,3.7,1.6,https://www.instagram.com/yayas_stories/
shangri.home,D,활성,1590,2705,41.1,60,25.1,0.5,7.6,https://www.instagram.com/shangri.home/
camping_on_tem,D,활성,1581,3447,1.4,9,1.9,12.0,3.4,https://www.instagram.com/camping_on_tem/
seultem.1010,D,활성,1571,9727,11.4,29,7.5,1.1,0.4,https://www.instagram.com/seultem.1010/
hom_resipi,D,활성,1564,10093,22.1,177,15.2,0.0,28.0,https://www.instagram.com/hom_resipi/
eye_spinning5,D,활성,1563,6124,2.2,10,4.3,1.9,6.0,https://www.instagram.com/eye_spinning5/
jibbie_s_life,D,저활동(14일+),1551,5131,0.2,1,20.7,41.0,4.7,https://www.instagram.com/jibbie_s_life/
luxiai_official,D,활성,1525,11232,1.8,20,2.4,0.0,0.7,https://www.instagram.com/luxiai_official/
queenz_hom2,D,활성,1501,4287,5.2,18,2.3,0.8,5.6,https://www.instagram.com/queenz_hom2/
homeflow.studio,D,저활동(14일+),1500,4970,39.6,64,15.1,39.1,0.8,https://www.instagram.com/homeflow.studio/
decidebuy_,D,활성,1487,2314,15.9,52,4.7,7.0,3.4,https://www.instagram.com/decidebuy_/
hometem_ssok,D,활성,1483,2733,44.3,57,18.4,1.4,4.2,https://www.instagram.com/hometem_ssok/
salim_cura,D,저활동(14일+),1452,2656,20.6,46,10.3,18.1,0.7,https://www.instagram.com/salim_cura/
gappun.home,D,활성,1437,3438,22.3,43,11.7,0.1,7.6,https://www.instagram.com/gappun.home/
youzihome,D,활성,1426,2013,19.8,60,4.2,1.2,6.5,https://www.instagram.com/youzihome/
lucky.selects,D,활성,1423,2970,46.0,73,23.6,1.0,7.6,https://www.instagram.com/lucky.selects/
shopping___review,D,활성,1416,2911,11.1,28,6.0,1.2,9.3,https://www.instagram.com/shopping___review/
maesilharu,D,활성,1385,9738,12.7,55,7.6,0.1,7.6,https://www.instagram.com/maesilharu/
daillypick,D,활성,1375,3796,32.2,68,18.1,0.1,9.3,https://www.instagram.com/daillypick/
sosodamdam1121,D,활성,1362,3313,0.0,0,17.0,9.2,0.1,https://www.instagram.com/sosodamdam1121/
mood.collect.zip,D,활성,1336,7428,40.1,276,13.8,3.5,3.7,https://www.instagram.com/mood.collect.zip/
jen.jen.home,D,활성,1332,3299,17.1,87,7.6,0.5,8.4,https://www.instagram.com/jen.jen.home/
jubu_majji,D,활성,1302,3720,5.2,19,2.8,1.9,1.3,https://www.instagram.com/jubu_majji/
salim.salmam,D,활성,1290,2129,13.9,27,6.3,2.1,5.6,https://www.instagram.com/salim.salmam/
homekkeul,D,활성,1289,2312,16.6,51,5.2,0.4,7.0,https://www.instagram.com/homekkeul/
gogoon_home,D,활성,1282,3083,40.2,84,19.7,0.9,8.4,https://www.instagram.com/gogoon_home/
moms__living,D,활성,1281,1771,6.3,18,4.2,1.0,12.0,https://www.instagram.com/moms__living/
livingpick.home,D,저활동(14일+),1266,3923,74.8,105,39.4,19.0,2.7,https://www.instagram.com/livingpick.home/
home.life.baby,D,저활동(14일+),1259,8739,27.6,46,19.3,14.9,3.8,https://www.instagram.com/home.life.baby/
kkul._.salrimso,D,활성,1259,2807,52.8,77,30.3,0.5,7.6,https://www.instagram.com/kkul._.salrimso/
slowhome.pick,D,활성,1251,3189,17.8,34,10.9,0.3,8.4,https://www.instagram.com/slowhome.pick/
house._.tem,D,활성,1248,2054,9.3,19,6.8,12.2,4.4,https://www.instagram.com/house._.tem/
inahome__,D,활성,1245,3351,27.9,48,14.8,3.1,3.5,https://www.instagram.com/inahome__/
holictem,D,활성,1238,1946,30.1,61,15.9,0.5,7.6,https://www.instagram.com/holictem/
picknlife_select,D,활성,1238,2684,22.0,92,7.8,2.0,4.7,https://www.instagram.com/picknlife_select/
dailypick_y,D,활성,1232,10335,9.8,68,5.6,5.3,0.6,https://www.instagram.com/dailypick_y/
sheep___soft,D,활성,1205,1875,41.9,79,14.0,0.5,7.6,https://www.instagram.com/sheep___soft/
yoondie.journal,D,활성,1166,4914,4.1,14,4.6,1.9,2.9,https://www.instagram.com/yoondie.journal/
inhome_mood,D,활성,1137,3053,58.3,113,32.1,0.3,5.2,https://www.instagram.com/inhome_mood/
hottembook,D,저활동(14일+),1106,2487,3.4,22,5.1,38.9,0.5,https://www.instagram.com/hottembook/
gom._.zipsa,D,저활동(14일+),1083,2334,22.9,47,13.1,28.1,6.5,https://www.instagram.com/gom._.zipsa/
its_homepick,D,활성,1063,2766,21.3,126,4.2,0.2,3.0,https://www.instagram.com/its_homepick/
salimfinds,D,저활동(14일+),1042,3541,7.7,20,3.0,24.0,6.5,https://www.instagram.com/salimfinds/
day_sian_,D,활성,1021,2643,5.1,16,4.7,5.0,0.9,https://www.instagram.com/day_sian_/
bakbak.living,D,활성,1016,2451,2.5,7,4.6,3.1,2.3,https://www.instagram.com/bakbak.living/
sinbihan_life,D,활성,983,1847,12.4,38,6.3,0.5,4.7,https://www.instagram.com/sinbihan_life/
ttalkak_homez,D,활성,973,2754,15.2,46,3.5,1.1,4.9,https://www.instagram.com/ttalkak_homez/
sadaboni_godtem,D,활성,966,3594,10.3,29,5.5,0.0,14.0,https://www.instagram.com/sadaboni_godtem/
geumson_tem,D,활성,955,2461,1.9,14,1.7,0.1,5.2,https://www.instagram.com/geumson_tem/
sallim.duck,D,활성,934,2101,4.0,10,2.3,0.4,2.8,https://www.instagram.com/sallim.duck/
bora.home_pick,D,활성,921,1763,53.5,73,26.8,0.4,4.9,https://www.instagram.com/bora.home_pick/
salimtoktok001,D,활성,913,2804,2.8,8,2.7,0.6,6.5,https://www.instagram.com/salimtoktok001/
hago.zip,D,저활동(14일+),912,1227,35.8,60,76.5,41.0,0.2,https://www.instagram.com/hago.zip/
salim_bigson,D,활성,832,3529,3.6,15,5.5,2.5,8.4,https://www.instagram.com/salim_bigson/
our_home_living,D,활성,818,2372,2.7,18,4.8,7.0,2.0,https://www.instagram.com/our_home_living/
rurupang_rurupi,D,저활동(14일+),803,2515,1.0,8,1.6,14.3,8.4,https://www.instagram.com/rurupang_rurupi/
eok_3man,D,활성,799,1389,7.3,16,3.1,0.6,4.4,https://www.instagram.com/eok_3man/
